    vel     TPCF     bla     minus_error     plus_error
    5.00000     0.08818     9999.00000     0.08397     0.09673
   15.00000     0.08851     9999.00000     0.08442     0.09605
   25.00000     0.08531     9999.00000     0.07987     0.09243
   35.00000     0.08262     9999.00000     0.07865     0.08834
   45.00000     0.07885     9999.00000     0.07533     0.08350
   55.00000     0.07406     9999.00000     0.06989     0.07803
   65.00000     0.07018     9999.00000     0.06789     0.07295
   75.00000     0.06439     9999.00000     0.06282     0.06542
   85.00000     0.05887     9999.00000     0.05725     0.05944
   95.00000     0.05337     9999.00000     0.05201     0.05416
  105.00000     0.04727     9999.00000     0.04520     0.04863
  115.00000     0.04073     9999.00000     0.03818     0.04197
  125.00000     0.03521     9999.00000     0.03181     0.03768
  135.00000     0.02991     9999.00000     0.02616     0.03272
  145.00000     0.02443     9999.00000     0.02057     0.02704
  155.00000     0.02014     9999.00000     0.01601     0.02343
  165.00000     0.01619     9999.00000     0.01218     0.01931
  175.00000     0.01263     9999.00000     0.00903     0.01510
  185.00000     0.01010     9999.00000     0.00644     0.01284
  195.00000     0.00749     9999.00000     0.00426     0.00989
  205.00000     0.00506     9999.00000     0.00265     0.00678
  215.00000     0.00343     9999.00000     0.00155     0.00509
  225.00000     0.00194     9999.00000     0.00073     0.00314
  235.00000     0.00084     9999.00000     0.00024     0.00149
  245.00000     0.00027     9999.00000     0.00004     0.00062
  255.00000     0.00002     9999.00000     0.00000     0.00006
