Table 3 
Galaxies and Absorption Systems


Galaxies								Absorption Systems		
	Deltaalpha	Deltadelta		rho		M_B			W(2796)^a	
ID	(arcsec)	(arcsec)	z_gal	(h^-1 kpc)	r'	-5log h	B_AB - R_AB	z_abs	(Aring)	
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	
SDSSJ003339.85 - 005522.36	-5.4	3.2	0.2124	15.2	18.82	-20.11	0.25	0.2121	1.05 +or- 0.03	
SDSSJ003407.78 - 085453.28	6.5	-1.2	0.3617	23.5	21.37	-18.89	0.79	0.3616	0.48 +or- 0.05	
SDSSJ003412.85 - 010019.79	-2.8	7.1	0.2564	21.3	20.16	-18.94	1.11	0.2564	0.61 +or- 0.06	
SDSSJ003414.49 - 005927.49	21.7	59.4	0.1202	96.0	17.24	-19.80	1.14	0.1202	<0.22	
SDSSJ010136.52 - 005016.44	10.2	-7.4	0.2615	35.9	19.43	-19.71	1.15	0.2615	<0.07	
SDSSJ010155.80 - 084408.74	-7.7	-7.0	0.1588	20.0	20.19	-17.70	0.65	0.1586	0.36 +or- 0.03	
SDSSJ010351.82+003740.77	-9.7	1.0	0.3515	34.0	21.38	-18.85	0.88	0.3508	0.38 +or- 0.03	
SDSSJ021558.84 - 011131.23	6.6	4.6	0.2103	19.3	19.35	-19.35	0.84	0.2108	0.77 +or- 0.05	
SDSSJ022949.97 - 074255.88	-5.2	0.9	0.3866	19.5	20.94	-19.47	0.62	0.3861	1.74 +or- 0.04	
SDSSJ024127.75 - 004517.04	15.6	9.2	0.1765	37.9	18.69	-19.39	1.26	 ... 	 ... 	
SDSSJ032230.27+003712.72	-34.6	23.6	0.1833	90.4	17.55	-21.02	0.55	 ... 	 ... 	
SDSSJ032232.55+003644.68	-0.4	-4.5	0.2185	11.1	21.27	-17.48	0.85	0.2183	1.31 +or- 0.12	
SDSSJ035241.99+001317.13	-1.9	9.8	0.3671	35.9	20.37	-19.87	0.72	0.3677	1.45 +or- 0.05	
SDSSJ040404.51 - 060709.46	6.4	4.6	0.2387	20.8	20.20	-18.89	0.62	 ... 	 ... 	
SDSSJ075001.34+161301.92	-7.3	-3.1	0.1466	14.3	20.65	-17.19	0.66	0.1469	0.26 +or- 0.08	
SDSSJ075450.11+185005.28	1.0	12.5	0.2856	37.8	19.77	-19.69	1.08	0.2856	<0.04	
SDSSJ075525.13+172825.79	-5.4	-10.8	0.2541	33.5	19.34	-19.82	1.02	0.2546	0.51 +or- 0.02	
SDSSJ080005.11+184933.31	7.8	-1.8	0.2544	22.2	19.94	-19.33	0.48	0.2536	0.30 +or- 0.04	
SDSSJ082340.56+074751.07	5.6	-10.6	0.1864	26.3	18.54	-19.67	1.00	0.1863	0.37 +or- 0.04	
SDSSJ084120.59+012628.85	12.1	7.1	0.4091	53.7	20.05	-20.54	0.81	0.4084	0.10 +or- 0.02	
SDSSJ084455.58+004718.15	-7.2	9.2	0.1551	22.0	18.86	-19.10	0.72	0.1554	0.40 +or- 0.05	
SDSSJ085829.88+022616.04	44.2	11.6	0.1097	64.0	18.34	-18.81	0.75	0.1097	<0.06	
SDSSJ090519.01+084933.70	-10.2	16.4	0.3856	71.1	20.33	-20.07	-0.13	0.3856	<0.04	
SDSSJ090519.61+084932.22	-1.3	14.9	0.4545	60.7	20.96	-19.96	0.90	0.4545	<0.04	
SDSSJ090519.72+084914.02	0.3	-3.3	0.1499	6.1	22.30	-16.36	0.66	0.1501	0.82 +or- 0.10	
SDSSJ091845.10+060202.93	-12.1	-23.2	0.1849	56.7	18.70	-19.43	1.19	0.1849	<0.07	
SDSSJ093252.25+073731.59	6.4	2.5	0.3876	25.3	20.20	-20.23	0.29	0.3876	1.10 +or- 0.02	
SDSSJ093537.25+112410.66	4.0	2.6	0.2808	14.2	20.41	-19.10	0.34	0.2811	0.79 +or- 0.04	
SDSSJ100810.61+014446.17	46.5	-2.8	0.2173	114.8	17.73	-21.07	0.80	0.2173	<0.20	
SDSSJ100906.91+023557.81	8.2	2.5	0.2523	23.7	19.21	-19.85	1.13	0.2521	0.10 +or- 0.01	
SDSSJ102220.71+013143.50	25.9	-35.3	0.1369	74.3	17.45	-19.99	0.99	0.1369	<0.11	
SDSSJ103605.26+015654.88	-33.7	-4.3	0.3571	119.2	18.89	-21.29	0.59	0.3571	<0.02	
SDSSJ103836.38+095143.68	-1.8	4.8	0.1742	10.7	20.39	-18.03	0.40	0.1744	1.04 +or- 0.06	
SDSSJ112016.63+093317.94	-0.4	-5.6	0.4933	23.8	20.59	-20.63	0.90	0.4933	2.14 +or- 0.03	
SDSSJ113756.76+085022.38	-3.9	5.2	0.3356	21.7	20.75	-19.25	1.11	0.3360	0.91 +or- 0.06	
SDSSJ114144.83+080554.09	3.1	-20.7	0.2290	53.7	19.37	-19.60	0.80	0.2286	0.31 +or- 0.03	
SDSSJ114145.14+080605.27	7.7	-9.5	0.3583	43.1	20.09	-20.08	1.14	0.3585	0.49 +or- 0.02	
SDSSJ120931.61+004546.23	-9.7	-9.7	0.2533	38.0	20.50	-18.76	0.94	0.2533	<0.06	
SDSSJ122115.84 - 020259.37	7.5	-6.0	0.0934	11.7	20.65	-16.22	0.51	 ... 	 ... 	
SDSSJ125737.93+144802.20	-4.2	-4.1	0.4648	24.0	20.32	-20.67	1.06	0.4644	0.12 +or- 0.02	
SDSSJ130555.49+014928.62	19.8	-1.2	0.2258	50.3	19.29	-19.58	0.94	0.2258	<0.04	
SDSSJ130557.05+014922.34	43.2	-7.5	0.1747	90.9	17.70	-20.30	1.16	0.1740	0.45 +or- 0.03	
SDSSJ132757.22+101136.02	-2.8	-5.8	0.2557	17.8	20.60	-18.61	0.45	0.2553	0.65 +or- 0.04	
SDSSJ132831.54+075943.00	6.8	1.0	0.3323	23.1	19.50	-20.46	1.07	0.3326	0.59 +or- 0.04	
SDSSJ132832.74+075952.56	24.7	10.6	0.2358	70.3	19.34	-19.75	0.57	0.2362	0.21 +or- 0.05	
SDSSJ133905.86+002225.36	22.8	3.4	0.1438	40.8	17.55	-19.92	1.17	0.1438	<0.22	
SDSSJ140618.34+130143.61	-18.6	36.8	0.1748	85.6	18.08	-20.04	1.00	0.1748	<0.11	
SDSSJ140619.94+130105.23	4.8	-1.6	0.2220	12.7	19.76	-19.06	0.51	0.2222	0.96 +or- 0.06	
SDSSJ142600.05 - 001818.12	54.7	0.7	0.1382	93.6	15.96	-21.43	1.13	0.1382	<0.19	
SDSSJ143216.97+095522.23	2.8	2.9	0.3293	13.5	20.59	-19.31	0.97	0.3296	2.36 +or- 0.04	
SDSSJ150339.62+064235.04	-5.4	-24.9	0.2333	66.3	20.35	-18.73	0.50	0.2333	<0.06	
SDSSJ150340.15+064308.11	2.5	8.2	0.1809	18.2	20.57	-17.47	0.97	0.1809	<0.11	
SDSSJ151228.25 - 011216.09	-8.5	7.0	0.1284	17.8	19.08	-18.51	0.59	0.1284	0.94 +or- 0.16	
SDSSJ153112.77+091119.72	-3.1	-19.1	0.3265	63.8	20.89	-19.03	0.70	0.3265	<0.04	
SDSSJ153113.01+091127.02	0.4	-11.8	0.2659	33.7	20.67	-18.60	1.08	0.2660	0.31 +or- 0.03	
SDSSJ153715.67+023056.39	4.9	6.7	0.2151	20.3	19.51	-19.41	0.56	0.2151	0.80 +or- 0.02	
SDSSJ155336.77+053438.23	4.6	14.3	0.3227	49.0	19.22	-20.66	0.56	0.3240	0.71 +or- 0.01	
SDSSJ155556.54 - 003615.58	-7.9	-7.2	0.3006	33.5	20.91	-18.85	1.01	0.3006	<0.04	
SDSSJ160749.54 - 002228.42	3.0	-8.6	0.3985	34.1	19.63	-20.88	0.84	0.3993	0.80 +or- 0.01	
SDSSJ160906.36+071330.66	14.0	-6.6	0.2075	36.8	18.93	-19.63	1.10	0.2065	<0.08	
SDSSJ204303.53 - 010139.05	-0.3	-13.0	0.2356	34.1	18.73	-20.38	0.55	0.2350	1.24 +or- 0.05	
SDSSJ204304.34 - 010137.91	11.8	-11.9	0.1329	39.9	19.56	-18.03	0.60	0.1329	<0.19	
SDSSJ210230.86+094121.06	2.1	-4.0	0.3565	15.8	21.05	-19.12	1.53	0.3563	0.71 +or- 0.04	
SDSSJ212938.98 - 063758.80	5.8	3.0	0.2782	19.4	20.94	-18.49	0.92	0.2779	0.58 +or- 0.03	
SDSSJ221126.42+124459.93	-5.0	1.8	0.4872	22.2	20.46	-20.51	0.55	0.4840	0.40 +or- 0.02	
SDSSJ221526.04+011353.78	-10.5	-2.7	0.3203	35.4	20.26	-19.61	1.05	0.3201	0.40 +or- 0.05	
SDSSJ221526.88+011347.20	2.1	-9.3	0.1952	21.5	21.25	-17.48	0.51	0.1952	<0.15	
SDSSJ222849.01 - 005640.04	-2.8	-9.2	0.2410	25.5	19.80	-19.27	0.88	 ... 	 ... 	
SDSSJ223246.44+134655.34	-5.2	-6.7	0.3221	27.9	19.19	-20.68	1.00	0.3225	0.92 +or- 0.05	
SDSSJ223316.34+133315.37	-7.7	5.5	0.2138	23.1	18.85	-20.08	0.69	0.2139	1.36 +or- 0.06	
SDSSJ223359.74 - 003320.83	-2.8	-5.0	0.1162	8.5	19.86	-17.37	0.78	0.1162	1.11 +or- 0.09	
SDSSJ224704.01 - 081601.00	-11.4	16.5	0.4270	78.7	19.84	-20.88	1.34	0.4270	<0.04	
SDSSJ230225.06 - 082156.65	-6.4	-2.5	0.3618	24.2	20.27	-19.92	0.97	0.3620	2.02 +or- 0.06	
SDSSJ230225.17 - 082159.07	-4.7	-4.9	0.2146	16.8	21.59	-17.49	0.53	 ... 	 ... 	
SDSSJ230845.53 - 091445.97	-1.0	3.5	0.2147	8.9	19.89	-18.85	0.96	0.2139	0.43 +or- 0.07	
SDSSJ232812.79 - 090603.73	-1.8	-41.2	0.1148	60.1	18.64	-18.73	0.50	0.1148	<0.24	
SDSSJ234949.42+003542.34	-2.8	7.0	0.2778	22.2	20.29	-19.14	0.96	0.2776	0.35 +or- 0.02	
										
"Group" Galaxies										
										
SDSSJ003339.66 - 005518.36	-8.2	7.2	0.1760	22.8	19.66	-18.36	1.12	0.1759	0.19 +or- 0.04	
SDSSJ003341.47 - 005522.79	18.9	2.7	0.1758	39.8	20.60	-17.91	0.98	 ... 	 ... 	
SDSSJ074527.07+191959.90	-15.0	7.5	0.4582	68.9	19.71	-21.22	1.12	0.4549	0.65 +or- 0.10	
SDSSJ074527.22+192003.88	-13.2	11.2	0.4582	70.4	20.21	-20.72	0.82	 ... 	 ... 	
SDSSJ083218.55+043337.81	-32.7	-39.0	0.1681	102.4	18.14	-19.86	1.03	0.1684	0.20 +or- 0.04	
SDSSJ083218.77+043346.58	-29.5	-30.2	0.1678	84.7	17.47	-20.49	0.98	 ... 	 ... 	
SDSSJ083221.60+043359.74	12.9	-17.0	0.1693	43.2	19.41	-18.91	0.50	 ... 	 ... 	
SDSSJ091845.70+060220.57	-3.1	-5.5	0.7967	33.4	19.94	-22.55	-1.36	 ... 	<0.02	
SDSSJ114830.94+021807.91	12.3	-21.9	0.3206	81.9	19.82	-19.97	1.06	0.3215	0.53 +or- 0.02	
SDSSJ114831.01+021803.00	13.4	-26.9	0.3206	98.0	19.62	-20.17	1.06	 ... 	 ... 	
SDSSJ121347.09+000141.26	-6.4	11.3	0.2258	33.0	20.26	-18.67	1.15	0.2258	0.54 +or- 0.08	
SDSSJ121347.14+000136.62	-5.7	6.6	0.2259	22.2	19.15	-19.57	1.10	 ... 	 ... 	
SDSSJ132829.30+080003.17	-26.4	21.2	0.2549	94.1	19.32	-19.92	0.80	0.2545	0.79 +or- 0.03	
SDSSJ132830.62+080005.22	-6.8	23.2	0.2537	67.0	19.03	-20.08	0.95	 ... 	 ... 	
SDSSJ132831.15+075923.90	1.0	-18.1	0.2537	50.2	20.41	-18.69	1.10	 ... 	 ... 	
SDSSJ204431.32+011304.97	-2.1	-7.5	0.1927	17.4	18.76	-19.47	1.21	0.1927	0.50 +or- 0.08	
SDSSJ204431.87+011308.81	6.1	-3.6	0.1921	16.0	20.44	-18.00	0.77	 ... 	 ... 	
Note
a Constraints for the strength of the corresponding Mg II absorption at the redshift of each galaxy. No detections are expressed as 2sigma upper limits to the underlying absorption strength of cool gas. Galaxies that do not have constraints for W_r(2796) due to contamination or are members of a "group" are indicated with "...".
