EW D
1.089 26.0
0.674 62.8
0.426 107.8
2.133 26.9
0.7 46.3
0.028 91.4
0.64 20.6
1.187 37.9
0.32 103.9
0.491 54.8
0.247 114.5
0.769 34.3
1.446 100.0
0.032 113.2
0.468 71.8
1.548 23.4
0.249 87.6
0.57 51.1
0.82 72.1
0.3 89.8
1.93 25.1
1.08 53.9
2.2318 9.66
2.3419 52.44
1.59 24.11
2.094 35.52
2.444 20.68
2.99504 9.08
1.16453 26.35
1.226 12.88
0.962697 20.94
0.959367 78.0
1.51905 41.41
2.79857 24.52
2.49093 8.56
1.9271 80.91
4.05384 22.05
0.989402 14.02
1.79065 12.67
1.44425 9.55
0.925537 60.77
1.32915 32.52
1.9271 80.91
1.16453 26.35
0.585 20.0
0.46 40.0
0.235 60.0
0.095 70.0
3.169 13.7
2.316 26.8
1.94 6.7
